Name,Franck-Hertz Experiment Apparatus,,,,
Model ,HO-ED-EM-04,,,,
VG1K,2.0 V,,,,
VG2A,5.0 V,,,,
Multi (A),10^-7,,,,
,,,,,
VG2K,I1,I2,I3,I4,I5
8,0,0,0,0,0
9,0,0.01,0.01,0.02,0
10,0.01,0.02,0.05,0.05,0.02
11,0.04,0.04,0.07,0.08,0.04
12,0.08,0.07,0.09,0.09,0.06
13,0.11,0.1,0.1,0.1,0.08
14,0.14,0.13,0.12,0.1,0.1
15,0.15,0.15,0.15,0.13,0.12
16,0.18,0.16,0.18,0.16,0.14
17,0.21,0.18,0.2,0.18,0.16
18,0.22,0.18,0.2,0.19,0.16
19,0.18,0.15,0.16,0.17,0.13
20,0.1,0.09,0.1,0.1,0.09
21,0.07,0.06,0.05,0.06,0.07
22,0.16,0.12,0.13,0.14,0.13
23,0.26,0.21,0.21,0.23,0.23
24,0.31,0.28,0.28,0.3,0.28
25,0.37,0.35,0.35,0.36,0.33
26,0.44,0.41,0.4,0.42,0.37
27,0.47,0.44,0.43,0.46,0.41
28,0.48,0.45,0.44,0.48,0.42
29,0.45,0.42,0.41,0.44,0.39
30,0.33,0.31,0.3,0.34,0.29
31,0.17,0.15,0.14,0.16,0.14
32,0.12,0.07,0.09,0.09,0.1
33,0.24,0.17,0.19,0.22,0.2
34,0.34,0.3,0.3,0.33,0.31
35,0.45,0.42,0.4,0.43,0.4
36,0.52,0.51,0.48,0.52,0.47
37,0.59,0.58,0.55,0.59,0.54
38,0.65,0.64,0.6,0.65,0.59
39,0.68,0.67,0.63,0.69,0.62
40,0.67,0.66,0.62,0.68,0.61
41,0.6,0.59,0.55,0.6,0.56
42,0.45,0.44,0.41,0.46,0.42
43,0.25,0.24,0.22,0.26,0.23
44,0.28,0.25,0.23,0.26,0.22
45,0.38,0.35,0.34,0.37,0.33
46,0.47,0.47,0.44,0.47,0.44
47,0.58,0.58,0.54,0.58,0.53
48,0.69,0.68,0.63,0.68,0.62
49,0.77,0.76,0.71,0.77,0.7
50,0.84,0.83,0.76,0.84,0.77
51,0.88,0.87,0.8,0.88,0.81
52,0.88,0.87,0.81,0.89,0.81
53,0.83,0.82,0.76,0.83,0.77
54,0.71,0.69,0.64,0.72,0.65
55,0.54,0.52,0.48,0.54,0.49
56,0.47,0.45,0.43,0.48,0.44
57,0.53,0.51,0.49,0.54,0.49
58,0.62,0.62,0.57,0.62,0.58
59,0.73,0.72,0.65,0.73,0.67
60,0.83,0.82,0.75,0.84,0.76
