probe current = 5 mA,,mag current = 2.85 A,,,
,,,,,
Temperature (C),Zero Field Potential (mV),Hall 1 (mV),std Hall 1 (mV),Hall 2 (mV),std Hall 2 (mV)
32,146.2666667,107.1,0.1,187.2666667,0.1527525232
32.5,145.9,107.1333333,0.1154700538,186.5333333,0.1527525232
33,145.7333333,107.0333333,0.05773502692,186.1,0.1
33.5,145.4666667,106.9666667,0.05773502692,185.7,0.2645751311
34,144.9666667,106.9333333,0.05773502692,183.0666667,0.1527525232
34.5,144.5666667,106.9,0.1,182.4666667,0.05773502692
35,144.2333333,106.8666667,0.05773502692,181.4,0.1
35.5,143.8,106.7333333,0.1154700538,180.7666667,0.05773502692
36,142.8333333,106.7,0.1,179.6666667,0.05773502692
36.5,142.3333333,106.4333333,0.05773502692,179.1,0.1
