r = B = 10000,high pass = 1000,low pass = 10000,,at 27 : r = c = 100000,"1500, 0.472"
every 0.005V measure voltage,,,,,
voltage,gain,V_sq_wgain,V_sq_std_wgain,V_sq,V_std
0.99,5000,0.9568,0.002863564,1.06E-12,3.18E-15
0.985,5000,0.992166667,0.002316607,1.10E-12,2.57E-15
0.98,5000,1.000666667,0.002516611,1.11E-12,2.80E-15
0.975,5000,1.003666667,0.002516611,1.12E-12,2.80E-15
0.97,5000,1.007666667,0.001527525,1.12E-12,1.70E-15
0.965,5000,1.025666667,0.003511885,1.14E-12,3.90E-15
0.96,5000,1.033666667,0.001527525,1.15E-12,1.70E-15
0.955,5000,1.048666667,0.00305505,1.17E-12,3.39E-15
0.95,5000,1.056666667,0.002516611,1.17E-12,2.80E-15
0.945,5000,1.071,0.001,1.19E-12,1.11E-15
0.94,5000,1.078333333,0.003511885,1.20E-12,3.90E-15
0.935,5000,1.093666667,0.005033223,1.22E-12,5.59E-15
0.93,5000,1.109333333,0.006110101,1.23E-12,6.79E-15
0.925,4000,0.713666667,0.005686241,1.24E-12,9.87E-15
0.92,4000,0.723666667,0.00321455,1.26E-12,5.58E-15
0.915,4000,0.731,0.002645751,1.27E-12,4.59E-15
0.91,4000,0.741,0.002,1.29E-12,3.47E-15
0.905,4000,0.744333333,0.005507571,1.29E-12,9.56E-15
0.9,4000,0.748666667,0.002516611,1.30E-12,4.37E-15
0.895,4000,0.757,0.002645751,1.31E-12,4.59E-15
0.89,4000,0.766666667,0.002516611,1.33E-12,4.37E-15
0.885,4000,0.770666667,0.00305505,1.34E-12,5.30E-15
0.88,4000,0.774666667,0.004163332,1.34E-12,7.23E-15
0.87,4000,0.792333333,0.001527525,1.38E-12,2.65E-15
0.865,4000,0.796,0.003605551,1.38E-12,6.26E-15
0.86,4000,0.804,0.001,1.40E-12,1.74E-15
0.855,4000,0.805333333,0.002081666,1.40E-12,3.61E-15
0.85,4000,0.814,0.002645751,1.41E-12,4.59E-15
0.845,4000,0.823333333,0.005033223,1.43E-12,8.74E-15
0.84,4000,0.825666667,0.00321455,1.43E-12,5.58E-15
0.835,4000,0.836,0.001,1.45E-12,1.74E-15
0.83,4000,0.839666667,0.002516611,1.46E-12,4.37E-15
0.825,4000,0.847333333,0.002081666,1.47E-12,3.61E-15
0.82,4000,0.852333333,0.00450925,1.48E-12,7.83E-15
0.815,4000,0.858666667,0.001527525,1.49E-12,2.65E-15
0.81,4000,0.862666667,0.004725816,1.50E-12,8.20E-15
0.805,4000,0.870333333,0.001527525,1.51E-12,2.65E-15
0.8,4000,0.879666667,0.001527525,1.53E-12,2.65E-15
0.795,4000,0.884333333,0.001527525,1.54E-12,2.65E-15
0.79,4000,0.887666667,0.00321455,1.54E-12,5.58E-15
0.785,4000,0.896333333,0.001527525,1.56E-12,2.65E-15
0.78,4000,0.906,0.002,1.57E-12,3.47E-15
0.775,4000,0.906666667,0.00305505,1.57E-12,5.30E-15
0.77,4000,0.912,0.005291503,1.58E-12,9.19E-15
