Pixels,Data_4,Data_5,Data_6
0,12.3333,12,12.6667
1,12.115,12.1516,12.2586
2,12.8892,12.766,12.4327
3,13.8591,13.7449,13.4115
4,16.8156,16.915,16.7449
5,18.5006,19.5564,19.0938
6,22.4592,24.4005,24.348
7,30.2291,32.6147,33.7336
8,39.4531,41.6232,43.7293
9,50.9127,52.4513,53.654
10,58.0723,58.9758,58.7334
11,63.2205,63.3852,62.5914
12,64.111,63.4797,63.0981
13,62.6848,60.6978,60.9129
14,55.339,51.1513,49.646
15,48.1248,43.2688,38.5181
16,36.9178,33.4583,28.2433
17,21.1818,19.2586,15.9233
18,18.3762,17.4228,15.6286
19,14.4476,13.7823,12.8957
20,11.0562,9.7415,9.0816
21,12.4381,11.3309,10.2631
22,11.9671,11.2696,10.6741
23,10.4803,9.8136,9
24,10.1007,9.8627,9.4094
25,9.5578,9.2585,10.151
26,10.2068,9.0422,9.5311
27,10.807,9.8791,9.5075
28,11,10.3905,9.6667
29,11,10.6068,9.7035
30,11,10.6667,10.1224
31,11,10.7061,10.3728
32,11.1415,11.0639,10.7306
33,11.3333,11.4721,11.2776
34,11.3769,11.6884,11.6667
35,12.3537,12.381,12.3129
36,12.6667,12.6667,12.7878
37,12.9207,12.9218,13.3273
38,14.5474,14.1075,14.3351
39,14.7202,14.6195,15.0276
40,15.5366,16.0072,16.531
41,17.2422,16.9673,17.9415
42,18.2335,17.5333,18.7287
43,19.6723,19.2762,21.4015
44,20.9347,20.7189,23.5954
45,22.7687,22.8875,26.0952
46,25.4463,25.8599,29.2844
47,27.0857,27.2082,31.3135
48,28.9618,29.2989,33.9746
49,32.0933,31.9733,35.44
50,34.1673,33.4543,37.3686
51,36.197,34.6225,40.6283
52,37.2721,35.7017,41.7208
53,38.5347,37.1103,42.868
54,39.8376,38.4658,44.2313
55,40.5557,38.9817,45.2109
56,40.8969,39.7429,45.877
57,40.0136,39.9986,45.8422
58,39.8099,39.5981,45.4438
59,40.2413,39.1791,45.2258
60,39.7876,38.3349,44.7551
61,38.4102,37.2191,43.6925
62,37.229,36.1112,42.0317
63,36.6253,34.809,40.0351
64,35.1782,33.5733,37.8408
65,33.9695,32.0952,36.6803
66,32.4296,30.1255,35.0767
67,30.0463,27.9442,33.1048
68,28.5427,26.181,31.5143
69,25.3714,23.4328,28.4466
70,23.1429,21.7007,26.4762
71,21.5646,20.2104,24.5954
72,19.6054,18.2612,21.4123
73,19.2434,17.3607,20.3959
74,18.0041,15.8759,18.8351
75,15.9938,14.8912,16.6871
76,15.2131,14.8816,15.8798
77,13.9736,13.6476,14.6403
78,13.6667,13.3333,14.1265
79,13.2789,12.8825,13.3868
80,12.3605,12.0272,12.3605
81,12.1442,11.6218,12.1442
82,11.732,11.0653,11.3528
83,11.3782,10.7116,11
84,11.1434,10.4767,10.772
85,10.9456,10.2856,10.3741
86,10.7293,10.0626,10.3333
87,10.6667,9.9379,10.1175
88,10.6667,9.6667,9.6667
89,10.6667,9.6667,9.6667
90,11.4966,10.3181,10.2653
91,12,11,10.6476
92,11.6845,11.1253,10.2412
93,10.8049,11.419,9.6795
94,11,11,9.6694
95,11.2811,10.941,10.5602
96,11.6667,11.1007,11
97,11.7028,11.3287,11.0367
98,12.4667,11.8,11.48
99,12.7497,11.9533,11.7845
100,13.3569,12.6247,12.8188
101,13.8,14.2423,13.3319
102,14.7048,16.8709,13.9373
103,25.2834,30.9815,20.926
104,36.001,43.5772,30.1331
105,48.8844,54.9592,41.8639
106,66.8192,69.1439,60.1793
107,70.915,71.4769,66.1721
108,70.5948,67.918,67.2418
109,64.3841,59.4068,64.6329
110,56.0453,51.2282,58.3461
111,39.2674,31.0028,40.6238
112,24.5483,19.4694,25.701
113,17.8091,15.7234,18.2809
114,13.6721,13.3347,13.3442
115,13.034,12.3948,12.7007
116,11.8184,11.2807,11.4778
117,11.3263,10.6898,10.6828
118,11.4113,10.8225,10.7664
119,12.4882,12.8893,12.0476
120,12.9833,13.3333,12.3333
121,12.6553,13.0395,12.3385
122,12.7182,12.7182,12.5171
123,12.6992,12.6992,12.0654
124,14.7582,14.325,13.8949
125,17.0575,17.0833,14.4333
126,18.2362,20.9812,17.5203
127,34.681,42.5486,30.5383
128,53.8041,62.0601,45.785
129,66.6269,65.9117,60.5178
130,70.087,61.3399,67.9992
131,61.2755,50.6311,65.8271
132,38.432,30.7368,39.4625
133,24.0376,19.4212,23.5956
134,14.613,13.8558,14.0266
135,10.4165,10.7415,10.3008
136,11.4042,10.9641,11.411
137,11.9304,10.5584,11.6638
138,12.1275,11.1405,11.9411
139,12.3408,11.9502,12.001
140,12.381,12.449,11.8027
141,12.498,12.0325,11.7032
142,13.6996,14.4272,11.9659
143,21.5528,24.693,18.7814
144,29.3046,34.6567,26.0631
145,50.0847,54.5674,46.4781
146,64.0888,61.7495,61.7227
147,61.3467,53.0667,58.3867
148,40.8694,29.496,40.1458
149,22.7799,18.3184,22.0942
150,16.0794,14.903,14.6597
151,15.0844,12.5905,13.5782
152,14.0498,14.0682,13.3502
153,14.4823,14.8896,14.651
154,15.3469,13.6936,13.7706
155,16.1771,14.8701,14.905
156,17.9751,17.4495,17.2547
157,13.8278,15.7811,14.4164
158,28.7803,39.5296,26.7852
159,53.7163,63.325,49.6926
160,68.0164,67.0661,63.5138
161,54.4084,47.5091,55.0248
162,28.6888,21.185,30.885
163,19.3182,15.58,20.6686
164,15.055,14.5769,15.4076
165,12.8742,15.255,12.9831
166,13.0667,13.0458,12.234
167,13.0925,12.7967,12.7378
168,15.622,15.7252,15.7649
169,17.8055,18.2969,18.0504
170,20.0446,27.0343,19.942
171,41.0587,53.0137,38.8345
172,60.8576,66.1899,57.8865
173,58.4904,55.8188,57.7897
174,30.4306,23.9257,29.3435
175,17.1633,15.1497,16.898
176,15.0871,14.3971,14.8667
177,15.682,11.6447,14.8453
178,13.9956,11.3439,13.1338
179,13.03,13.2942,12.2382
180,15.7551,16.8231,15.0884
181,19.3519,23.398,18.1701
182,38.6988,46.1935,36.5458
183,56.9953,58.0668,55.9424
184,50.0695,41.8489,49.5837
185,28.6865,17.4626,27.2303
186,18.1949,13.6327,15.9329
187,12.2118,10.5838,12.1898
