Pixels,0.0A,0.7A,0.8A,0.9A,1.0A,1.1A,1.2A,1.3A,1.4A,1.5A,1.6A,1.7A,1.8A,1.9A
0,23.3333,38.6667,40.3333,40.3333,39,36.6667,36.3333,33.6667,31.3333,28.6667,26,24,22.3333,19.6667
1,19.3618,35.9961,38.3604,39.6318,39.2703,37.2477,37.4877,35.4421,34.0772,30.9865,28.4736,26.9814,25.121,22.1474
2,15.1933,30.0957,33.6584,36.1875,36.9574,36.5371,37.4914,36.7952,36.2104,33.7862,32.4775,31.9795,30.4349,26.6715
3,12.1036,23.926,28.1702,31.5991,33.9739,34.9019,36.1361,36.9785,36.4559,35.3063,35.7297,35.6406,34.5956,30.0666
4,11.5766,19.5819,23.2328,26.4663,30.5052,32.8753,33.7845,35.8566,36.364,36.1006,37.6231,37.1546,36.7305,33.5082
5,11.8891,15.0433,17.1334,19.9425,24.4758,28.4144,29.9899,33.4031,35.027,36.6351,38.5693,38,38.6684,37.2771
6,11.3655,13.9009,14.9123,18.139,20.7979,24.7103,27.2754,32.0282,33.5162,35.8997,37.6036,38.206,39.5739,38.0039
7,10.7748,12.527,13.2162,15.3711,17.045,21.0152,23.643,27.6149,30.719,33.8215,36.0541,37.4403,39.7658,38.7117
8,10.6667,12.2223,12.8378,14.3394,15.8439,19.1412,21.5827,26.0628,29.4624,32.6818,35.129,36.9971,39.009,39.2613
9,10.6894,12.2568,12.8421,14.0275,15.4372,17.6989,20.5185,24.5593,28.3741,31.9595,34.1712,36.9319,38.3156,39.6209
10,10.9369,12.0631,13.0991,13.6891,15.027,16.8018,19.7229,22.3582,26.991,31.0338,32.8919,36.3604,37.6735,38.8244
11,11,11.8694,13.3063,13.8529,14.5525,17.2793,19.536,21.1532,26.2568,30.3124,32.3318,35.7658,37.0559,37.4865
12,11,12.3923,13.0835,14.1359,14.3358,16.6168,19.5724,20.4349,25.9827,28.9442,31.7151,33.6618,35.5388,35.3219
13,11,12.8514,13.1847,14.518,14.9677,16.5135,19.6667,21.0541,25.9196,28.6667,31.2335,32.8153,34.9685,34.747
14,11,13.4414,13.9798,15.3131,15.8627,17.3019,19.9484,22.0226,25.982,28.5924,30.8086,32.6667,34.5337,34.5337
15,11,14.4775,15.5162,16.8495,17.1982,19.3018,21.1577,23.3423,25.6558,28.5054,30.3739,32.6126,34.0559,34.0405
16,11.0991,14.8622,16.0874,17.5225,18.1505,20.6126,22.373,24.2856,26.2523,28.982,30.1081,32.4388,33.3784,33.5739
17,11.7835,16.5903,18.3193,19.9772,21.4502,22.7793,25,27.3957,28.4685,29.293,30.2928,31.9377,32.2658,31.9016
18,12,17.7027,19.8559,21.3694,23.6026,24.0811,26.4775,28.8839,29.1361,29.2883,30.6396,31.4224,31.5866,30.5566
19,12.3028,19.1902,21.6696,23.5541,25.7963,26.3555,28.2552,30.0805,30.0576,29.3684,30.8568,30.6947,31.0386,28.9234
20,13.2883,21.2342,24.4049,27.0806,28.0718,29.2525,31.6216,31.4597,31.7482,29.7575,30.6219,29.8916,30.0178,26.9912
21,13.7009,22.4775,26.2857,29.5191,29.59,30.8619,33.7701,32.3073,32.2838,29.9215,30.182,29.5883,29.2586,26.1423
22,14.5649,25.8018,30.3314,32.7241,33.6443,35.093,34.2299,33.8459,32.6306,31.092,29.4711,28.9072,26.345,23.9162
