Pixel,0.0A,0.7A,0.8A,0.9A,1.0A,1.1A,1.2A,1.3A,1.4A,1.5A,1.6A,1.7A,1.8A,1.9A
0,11,24.3333,27,28.6667,30.3333,31,31.3333,32.3333,31,31.3333,31.3333,31.6667,31.3333,30.6667
1,11.0115,21.8155,22.3806,23.8939,26.4775,28.8351,28.5721,30.8985,30.8973,31.3956,33.0542,32.0231,32.8466,31.1096
2,11.2757,16.677,18.0727,19.2422,22.0392,24.3979,25.5559,29.0219,30.4648,31.6736,34.2687,34.4625,35.4083,35.293
3,10.8489,13.4671,14.2676,16.0519,18.6886,19.2676,22.5409,25.5882,28.9008,32.1188,35.3956,35.8489,36.8431,38.2353
4,11.2907,14.3022,15.0231,16.4118,18.4083,19,21.3725,23.9481,26.7255,31.639,34.7682,35.7047,37.4245,37.9804
5,10.4487,14.0704,15.872,15.8973,17.1834,19.2215,21.9227,24.3068,27.4394,31.3922,34.4429,35.4856,37.1257,35.7255
6,11.4314,14.797,16.722,17.6632,19.1534,21.1857,24.2514,26.5329,27.5456,31.9216,34.4314,35.8697,36.8789,35.6274
7,12.7255,16.4775,17.6701,19.5755,21.5329,24.2191,26.654,28.1176,28.722,32.9216,34.5098,35.722,36.7647,35.2318
8,14.8501,20.3414,20.6943,23.0992,25.504,28.0854,30.3333,30.6401,30.4902,33.7589,34.6275,35.489,35.9008,33.2999
9,15.0657,25.3218,27.6355,30.3149,32.9942,33.1638,34.6667,34.7774,32.8431,34.406,34.3725,34.0969,33.0185,31.5352
10,18.3795,31.6471,33.5525,35.8005,37.3495,36.6274,36.4671,36.0946,33.5029,34.3495,33.0554,31.699,30.3495,27.0358
11,21.6655,36.5202,38.4579,39.9193,39.8962,39.1188,37.1903,35.9712,32.8443,32.7751,30.6148,28.2618,26.925,22.9608
12,28.3702,41.7809,43.1811,42.9631,41.2514,39.5202,36.722,34.1419,29.8708,28.3529,26.1511,22.857,20.9666,18.1349
13,37.4625,46.3414,44.91,43.6551,40.2826,37.4279,34.5375,30.8005,26.5606,24.5802,22.4787,18.639,17.0738,14.376
14,42.4233,47.7324,45.6678,43.045,38.3725,34.8604,31.8074,27.4394,24.2964,22.0473,19.2768,16.1315,16.188,14.1038
15,54.3725,47.2434,43.6978,40.1488,35.3656,30.0254,26.2076,23.5479,19.7555,17.5652,16.0185,14.1442,13.9066,12.3449
16,62.6078,46.2664,42.278,37.7924,33.1453,27.1176,23.2468,21.4787,17.7416,16.1373,14.7958,13.4118,12.9216,11.6667
17,61.3333,44,40,36,31,25.6667,22,20.3333,17.3333,15.6667,15,13.6667,12.6667,11.6667
18,62.7843,41.8754,38.3391,35.248,30.8051,26.0323,22.9262,20.2399,18.3852,16.2987,15.2907,13.9573,13.0473,12.4279
19,57.9077,41.8501,39.797,36.0323,31.7382,27.6401,24.9412,21.2157,19.4775,17.5029,16.3979,14.7382,13.6863,13.1765
20,50.2088,42.7001,41.2514,37.6298,32.8789,29.91,27.2572,22.5433,19.9296,18.6805,18.0923,15.7982,14.3864,13.6275
21,37.6471,42.361,40.5606,38.8985,34.8708,32.9573,30.1799,26.549,23,21.9412,21.2076,19.0623,17.1995,15.5836
22,28.2261,40.526,40.3945,39.2099,37.1707,35.1315,33.7924,31.0588,27.1176,25.2803,24.1234,22.3587,20.2157,18.0058
23,19.8385,36.4383,38.782,38.6701,38.2157,36.0196,35.6078,33.8824,29.9516,28.1246,26.2941,24.8074,22.9573,20.9181
24,14.729,32.8985,34.3333,36.9181,37.0358,36.2157,36.624,35.8235,32.173,31.2641,29.624,28.6044,27.5098,25.278
25,13.2872,29.0208,30.5271,34.2814,34.7762,35.3472,36.3403,36.4694,33.6401,33.4233,32.8881,32.5306,32.0392,29.7912
26,12.4637,22.3933,23.9781,30.6344,30.8939,32.1511,34.9089,34.7832,35.4441,34.9135,35.6136,36.2168,35.9608,34.4579
27,12.1038,17.8478,19.7059,24.4129,25.5663,28.1603,30.97,33.3945,34.3241,34.3979,36.6148,37.6736,38.1361,36.1188
28,10.8627,15.2907,16.0161,19.4083,21.3068,24.075,26.827,30.8235,33.1015,33.3795,37.0554,38.925,38.5721,37.9839
29,10.6078,14.098,14.4314,17.5156,18.8939,21.9804,25.0842,28.5294,31.7705,33.4314,35.902,39.0196,39.2042,39.1453
30,10.4821,12.7958,13.3956,15.6621,17.3091,19.6194,22.3875,26.1211,29.1799,32.7612,35.0427,38.0081,39.6321,39.3022
31,10.6667,12.098,13.098,14.7451,16.1569,17.3725,20.4648,23.4648,26.6021,30.9239,34.9666,36.5294,38.8178,39.6528
32,10.5098,12,13,14.2284,15.3264,16.3403,19.7647,22.0911,25.203,29.9873,34.105,35.7059,38.0196,39.2745
33,10.4279,12.2514,13.173,14.1453,15.0277,15.8397,19.5652,21.4002,23.9885,28.9804,32.9573,34.8547,37.8858,38.8939
34,11,13.3333,14,14.6667,15.3333,16.6667,19.6667,21.6667,24,28,32.3333,34,37.6667,38.3333
