x_0,x_a1,x_b1,x_a2,x_b2,x_a3,x_b3,B,r_a1,r_b1,r_a2,r_b2,r_a3,r_b3
60,107,114,131,135,148,151,0.7,47,54,71,75,88,91
60,106,114,130,135,147,151,0.8,46,54,70,75,87,91
60,105,115,129,136,147,152,0.9,45,55,69,76,87,92
60,105,115,129,136,146,152,1,45,55,69,76,86,92
60,105,116,128,136,146,152,1.1,45,56,68,76,86,92
60,104,116,128,136,146,153,1.2,44,56,68,76,86,93
60,104,117,128,137,146,153,1.3,44,57,68,77,86,93
60,103,117,128,137,145,153,1.4,43,57,68,77,85,93
60,103,118,127,138,145,154,1.5,43,58,67,78,85,94
60,102,118,127,138,144,154,1.6,42,58,67,78,84,94
60,101,118,126,138,143,154,1.7,41,58,66,78,83,94
60,100,119,124,140,142,154,1.8,40,59,64,80,82,94
60,100,121,124,140,142,155,1.9,40,61,64,80,82,95
